,Event,R,Rn,Ry
2303,MAX.UNC_R3_RxR_CYCLES_NE.SNP,0.6936293946603225,0.27593360995850624,0.7546198121781278
2304,MAX.UNC_R3_RxR_INSERTS.HOM,0.9019296854348401,0.9087136929460581,0.9009391093607998
2305,MAX.UNC_R3_RxR_INSERTS.NDR,0.9555908009516257,0.9087136929460581,0.9624356255680097
2306,MAX.UNC_R3_RxR_INSERTS.SNP,0.8014803066349458,0.4854771784232365,0.8476219327476522
2307,MAX.UNC_R3_RxR_OCCUPANCY.DRS,0.9952418715305313,0.9875518672199171,0.9963647379581945
2308,MAX.UNC_R3_RxR_OCCUPANCY.HOM,0.9785884218873909,1.0,0.9754619812178128
2309,MAX.UNC_R3_RxR_OCCUPANCY.NCB,0.9955062120010574,0.9896265560165975,0.9963647379581945
2310,MAX.UNC_R3_RxR_OCCUPANCY.NCS,0.9978852762357917,0.995850622406639,0.9981823689790973
2311,MAX.UNC_R3_RxR_OCCUPANCY.NDR,0.9698651863600317,0.9937759336099585,0.966373826113299
2312,MAX.UNC_R3_RxR_OCCUPANCY.SNP,0.9992069785884219,1.0,0.9990911844895486
2313,MAX.UNC_R3_TxR_NACK_CCW.AD,0.7261432725350251,0.5186721991701245,0.7564374431990306
2314,MAX.UNC_R3_TxR_NACK_CCW.AK,0.619614062913032,0.21784232365145229,0.6782793093002121
2315,MAX.UNC_R3_TxR_NACK_CCW.BL,0.8897700237906423,0.9605809128630706,0.8794304756134504
2316,MAX.UNC_R3_TxR_NACK_CW.AD,0.7969865186360032,0.7240663900414938,0.8076340502877916
2317,MAX.UNC_R3_TxR_NACK_CW.AK,0.6391752577319587,0.3070539419087137,0.6876704029082097
2318,MAX.UNC_R3_TxR_NACK_CW.BL,0.9397303727200634,0.966804979253112,0.9357770372614359
2319,MAX.UNC_R3_VN0_CREDITS_REJECT.HOM,1.0,1.0,1.0
2320,MAX.UNC_R3_VN0_CREDITS_REJECT.NDR,1.0,1.0,1.0
2321,MAX.UNC_R3_VN0_CREDITS_USED.DRS,1.0,1.0,1.0
2322,MAX.UNC_R3_VN0_CREDITS_USED.HOM,1.0,1.0,1.0
2323,MAX.UNC_R3_VN0_CREDITS_USED.SNP,1.0,1.0,1.0
2324,MAX.UNC_R3_VN1_CREDITS_REJECT.HOM,1.0,1.0,1.0
